iso3,year,value,wb_indicator,canonical_name,var_year
BRA,2022,1951923832083.87,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BRA,2021,1670647464062.96,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BRA,2020,1476107292151.95,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BRA,2019,1873288158838.63,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BRA,2018,1916933708352.71,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BRN,2024,15340808592.48,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BRN,2023,15095084656.1634,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BRN,2022,16681536466.7183,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BRN,2021,14006496617.4458,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BRN,2020,12005799653.9835,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BRN,2019,13469235364.7032,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BRN,2018,13566908391.0895,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BGR,2024,113343355779.985,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BGR,2023,102199231384.542,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BGR,2022,90506153293.6733,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BGR,2021,84374613233.36,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BGR,2020,70486877546.4901,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BGR,2019,68507731353.9114,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BGR,2018,66097226262.2191,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BFA,2024,23124729853.0218,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BFA,2023,20112614449.2039,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BFA,2022,18622421394.6133,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BFA,2021,19697516284.3787,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BFA,2020,17725010532.5268,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BFA,2019,16032813503.3707,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BFA,2018,15890066221.2882,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BDI,2024,3082433067.32634,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BDI,2023,3430949249.91221,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BDI,2022,4036192552.88879,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BDI,2021,3435598072.7935,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BDI,2020,3227847281.31544,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BDI,2019,2871555326.31029,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BDI,2018,2913411408.44783,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CPV,2024,2725414150.72735,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
CPV,2023,2504525548.71164,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CPV,2022,2247003344.34242,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CPV,2021,2051842618.70539,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CPV,2020,1821565613.68613,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
CPV,2019,2252177124.32402,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
CPV,2018,2205099506.99994,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
KHM,2024,46352647037.2406,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
KHM,2023,42335646895.7984,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
