Region,quarter,flow_type,flow_n
United States,7/1/23,Outflow,280.8333367
United States,10/1/23,Inflow,509.6666667
United States,10/1/23,Outflow,273.9722233
United States,1/1/24,Inflow,469.38889
United States,1/1/24,Outflow,265.1666667
United States,4/1/24,Inflow,434.9722233
United States,4/1/24,Outflow,250.3333333
United States,7/1/24,Inflow,371.8055567
United States,7/1/24,Outflow,224.8055567
United States,10/1/24,Inflow,314.25
United States,10/1/24,Outflow,192.63889
