iso3,entity_type,pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,dim_size_maturity,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail
HTI,pais,Haiti,2024,0-100,3_pillars_10_dims,20.05762277,7.521644341,18.61138891,34.03983507,0.0,12.52020786,11.45701746,6.109352047,9.728884872,,9.728884872,26.285999,19.81928285,15.50489594,15.87412573,70.74048355,
SSD,pais,South Sudan,2024,0-100,3_pillars_10_dims,18.58058996,11.04170492,19.73564989,24.96441507,0.0,8.719359834,14.02344522,21.42401464,7.196112715,,7.196112715,28.17637146,23.83446551,14.76333633,15.48899979,44.64090909,
SYR,pais,Syrian Arab Republic,2024,0-100,3_pillars_10_dims,16.94502678,16.41598132,18.92737954,15.49171947,0.0,32.61746286,22.15718582,10.8892766,4.012725237,,4.012725237,13.79796896,38.97144442,15.35128903,26.12873027,4.99513911,
AFG,pais,Afghanistan,2024,0-100,3_pillars_10_dims,16.92451775,8.268876641,22.45575212,20.04892448,0.0,8.176308922,17.56124034,7.337957298,4.318119673,,4.318119673,52.04228638,11.00685032,7.224,24.75432852,28.16844492,
YEM,pais,Yemen,2024,0-100,3_pillars_10_dims,14.62247898,12.89916644,20.40763167,10.56063883,0.0,25.06606354,20.88589541,5.644706799,4.012725237,,4.012725237,18.58904751,38.62112225,11.54853903,15.13823835,4.99513911,
AFG,pais,Afghanistan,2023,0-100,3_pillars_10_dims,21.26871333,13.99,21.70519182,28.11094818,0.0,8.96,34.6,12.4,6.66542438,,6.66542438,51.60695756,6.843193511,39.55666667,25.51617788,19.26,
ALB,pais,Albania,2023,0-100,3_pillars_10_dims,43.26239362,42.52967465,31.97313228,55.28437393,0.0,54.064,61.65,54.40469861,17.94967518,,17.94967518,35.83750708,42.13221458,24.885,67.4381218,73.53,
DZA,pais,Algeria,2023,0-100,3_pillars_10_dims,35.98810889,30.09710595,30.56313517,47.30408556,0.0,38.55,45.09666667,36.74175712,11.29174708,,11.29174708,42.40702536,37.99063307,27.816,49.59125667,64.505,
AND,pais,Andorra,2023,0-100,3_pillars_10_dims,46.25424863,38.81562708,35.04449334,64.90262548,0.0,55.276,38.84586207,61.14064626,37.88201682,,37.88201682,47.76112007,19.49034312,41.32858802,65.50761872,87.87166969,
AGO,pais,Angola,2023,0-100,3_pillars_10_dims,29.14025605,22.54808602,18.50621633,46.36646581,0.0,36.958,33.02666667,20.20767743,10.43399198,,10.43399198,23.15780873,21.92684828,33.97,33.27439744,71.855,
