pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Lebanon,2024,0-100,3_pillars_10_dims,46.66806935,82.0,51.0442805,40.47508636,48.48484118,100.0,38.66011968,34.88697072,30.6300316,15.30806205,50.53397593,55.58322109,31.24392747,44.37492254,69.83567353
Senegal,2024,0-100,3_pillars_10_dims,46.10767554,83.0,62.36934837,28.77175476,47.18192348,100.0,72.98174633,25.40546889,51.09017824,15.48861049,39.29328529,31.53336849,30.49230504,45.06023607,65.99322934
Albania,2024,0-100,3_pillars_10_dims,45.46622776,84.0,47.92975113,28.36110633,60.10782582,0.0,59.30598258,59.69410733,72.7189146,13.00632636,35.48023054,36.59676207,36.76640809,59.67893434,83.87813504
Sri Lanka,2024,0-100,3_pillars_10_dims,45.29464691,85.0,55.04026057,32.19202535,48.65165481,100.0,54.31368682,44.34114877,21.5062067,21.80381439,37.59037246,37.1818892,30.75068525,58.03593562,57.16834357
North Macedonia,2024,0-100,3_pillars_10_dims,45.12278472,86.0,36.51118282,32.36027349,66.49689785,0.0,56.14788419,40.80111978,49.09572729,22.60593656,39.52936246,34.94552146,45.87993519,54.86075836,98.75
Seychelles,2024,0-100,3_pillars_10_dims,44.76984511,87.0,41.40907195,36.80747877,56.09298461,0.0,54.20728354,47.86811159,63.56089267,27.18469827,40.55089684,42.6868412,35.70866667,56.66423353,75.90605363
Armenia,2024,0-100,3_pillars_10_dims,44.51279855,88.0,37.96864882,32.90502401,62.66472282,0.0,51.61322511,46.60758194,53.65378824,25.15523408,36.93545561,36.62438233,39.41884061,69.97876505,78.5965628
Panama,2024,0-100,3_pillars_10_dims,44.38966066,89.0,35.78823401,26.9699988,70.41074916,0.0,57.06320158,46.81295089,39.27678355,23.90170777,33.87537063,23.13291801,34.3726666,78.35958088,98.5
Fiji,2024,0-100,3_pillars_10_dims,44.21900038,90.0,37.02072517,32.3231917,63.31308429,0.0,31.59497522,55.57498885,60.91293659,20.68482517,44.55124956,31.73350036,38.15647786,72.38812493,79.39465008
Iran (Islamic Republic of),2024,0-100,3_pillars_10_dims,43.88147313,91.0,26.54199446,38.81534069,66.28708424,0.0,38.18860782,44.81333333,23.16603669,21.67679692,47.64449555,47.12472958,41.63341611,82.20007278,75.02776382
Tunisia,2024,0-100,3_pillars_10_dims,43.67929184,92.0,28.62222721,41.06785607,61.34779224,0.0,52.89643152,34.31884408,27.27363325,20.66210176,46.23449273,56.30697373,34.41671797,74.12242032,75.50423844
