pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Ghana,2022,0-100,3_pillars_10_dims,36.56305785,47.22058769,22.81851736,39.65006852,50.0,59.05729606,48.33358333,31.49147135,8.532688433,32.84449338,27.07837026,25.302,34.71478347,58.93
Sri Lanka,2022,0-100,3_pillars_10_dims,36.23061644,30.18841318,30.91652088,47.58691527,0.0,28.90335178,63.00415333,28.84614759,22.36471553,29.96591701,40.4189301,28.768,55.07658333,58.92
Trinidad and Tobago,2022,0-100,3_pillars_10_dims,36.1712009,30.13839706,28.43648047,49.93872516,0.0,42.75093195,37.79652333,40.00613294,22.17417889,23.33033371,39.80492882,27.726,44.09,78.0
Saint Lucia,2022,0-100,3_pillars_10_dims,35.85863778,29.78458801,27.49595936,50.29536597,0.0,43.03697506,40.284455,35.81692198,21.18784002,24.43995371,36.86008434,27.79533333,55.3491203,67.74
Benin,2022,0-100,3_pillars_10_dims,35.83543571,48.39553051,22.98781191,36.12296472,50.0,51.58267317,50.10144333,41.89800553,8.741841821,23.91085982,36.31073407,18.032,25.60004724,64.74
Tajikistan,2022,0-100,3_pillars_10_dims,35.83071587,41.80757544,19.78529365,45.89927851,50.0,35.36723352,35.98107,45.88199825,5.851347035,24.4279942,29.07653971,40.784,42.76666355,54.15
Paraguay,2022,0-100,3_pillars_10_dims,35.45868855,36.77186838,21.44232117,48.1618761,0.0,48.13994591,47.21385333,51.73367426,13.77111109,19.67987054,30.8759819,25.116,46.39332709,72.98
Algeria,2022,0-100,3_pillars_10_dims,35.32545863,30.16661684,29.93052253,45.87923652,0.0,39.5384781,45.09685333,36.03113593,11.18686347,35.99262538,42.61207873,27.816,47.62052051,62.2
Bosnia and Herzegovina,2022,0-100,3_pillars_10_dims,35.16653037,26.69570084,27.98356209,50.82032818,0.0,39.21486623,33.26801333,34.2999238,18.78028849,21.8557859,43.31461187,28.978,50.15821838,73.32
Suriname,2022,0-100,3_pillars_10_dims,35.10760082,29.58735405,26.08858149,49.64686693,0.0,45.13325339,30.04778833,43.16837445,19.31225691,24.43995371,34.51353385,30.60733333,51.82629762,66.51
Guatemala,2022,0-100,3_pillars_10_dims,34.92596868,29.60095971,23.07417313,52.10277321,0.0,38.55506503,39.9997,39.84907381,16.6247272,22.4558335,30.14195868,44.424,46.33716044,65.55
Namibia,2022,0-100,3_pillars_10_dims,34.56777823,29.16550661,26.58428787,47.95354021,0.0,32.94028045,40.99158667,42.73015932,16.74620522,30.4445807,32.56207769,25.89,51.46272802,66.51
Senegal,2022,0-100,3_pillars_10_dims,34.51097098,35.00762967,27.24784581,41.27743747,0.0,47.64372886,40.87824333,51.5085465,16.65247903,35.15013972,29.94091868,25.536,32.13887031,66.16
Grenada,2022,0-100,3_pillars_10_dims,34.39033175,27.41171407,24.68932502,51.06995617,0.0,22.20403371,39.79712167,47.6457009,21.28792219,24.43995371,28.34009917,31.12533333,49.82820946,72.26
Cabo Verde,2022,0-100,3_pillars_10_dims,34.27404409,35.90971325,24.45425632,42.45816271,0.0,44.79589937,55.65144667,43.19150696,16.86122199,18.8882612,37.61328577,23.52927273,39.92713792,63.92
Kyrgyzstan,2022,0-100,3_pillars_10_dims,33.90924499,33.73350051,22.4902151,45.50401936,0.0,44.25830661,42.98878,47.68691542,12.33253403,22.09097432,33.04713694,23.326,53.2865,59.9
Saint Vincent and the Grenadines,2022,0-100,3_pillars_10_dims,33.70891003,30.21396892,23.94199382,46.97076736,0.0,33.33299514,38.00378833,49.5190922,20.59419367,24.43995371,26.79183409,27.40133333,47.39373892,66.12
Maldives,2022,0-100,3_pillars_10_dims,33.53552338,33.68188379,15.16006177,51.76462457,0.0,24.545076,52.4545,57.72795916,24.58453902,0.0,20.89564629,52.81666667,61.324375,41.15
Guyana,2022,0-100,3_pillars_10_dims,33.51820323,29.25957345,23.93356738,47.36146885,0.0,43.99451354,37.53412167,35.50965859,17.63556664,24.43995371,29.7251818,25.71533333,46.36523144,70.0
Uganda,2022,0-100,3_pillars_10_dims,32.65923191,37.77973358,19.49366267,40.70429948,0.0,47.68268008,55.87406,47.56219424,5.067074291,26.6779564,26.73595731,25.624,36.37168423,60.12
Bolivia,2022,0-100,3_pillars_10_dims,32.55578829,27.79543628,20.55823716,49.31369143,0.0,36.05498374,41.45586,33.67090138,13.23643872,15.5352961,32.90297665,24.036,61.49787635,62.41
United Republic of Tanzania,2022,0-100,3_pillars_10_dims,32.49772202,35.43252165,20.04908872,42.01155569,0.0,44.47611418,56.60135,40.65262241,5.057674385,30.25656484,24.83302694,39.112,29.00888495,57.91
Myanmar,2022,0-100,3_pillars_10_dims,32.44565026,24.25865227,25.90623897,47.17205953,0.0,29.48623523,31.29415333,36.25422052,10.85267264,25.75049008,41.11555421,27.92666667,50.06423765,63.53
Gabon,2022,0-100,3_pillars_10_dims,32.42445285,25.31424573,26.3345793,45.62453352,0.0,37.07793214,31.79185167,32.38719911,21.04351233,27.82326831,30.13695727,27.944,38.90425,70.03
Turkmenistan,2022,0-100,3_pillars_10_dims,31.94984039,22.4336096,29.42854706,43.9873645,0.0,34.28979039,30.16862128,25.27602673,22.53182869,29.33918375,36.41462873,25.41492308,34.47416667,72.07
Lao People's Democratic Republic,2022,0-100,3_pillars_10_dims,31.71862863,29.6368339,21.46088557,44.05816643,0.0,36.50781473,38.33007667,43.70944419,15.90673204,17.9812709,30.49465377,22.408,40.81554865,68.95
Cuba,2022,0-100,3_pillars_10_dims,31.5867537,24.36882628,27.04447266,43.34696216,0.0,23.43732998,28.004455,46.03352016,21.45280626,32.44499255,27.23561917,21.16366667,39.47089411,69.41
Iraq,2022,0-100,3_pillars_10_dims,31.52182498,21.01357138,27.18482757,46.36707599,0.0,28.74853782,25.68448333,29.62126438,18.69624196,31.95760716,30.9006336,27.432,45.76539458,65.9
Cambodia,2022,0-100,3_pillars_10_dims,31.1652904,27.95633432,21.14028522,44.39925165,0.0,36.35782921,47.65460333,27.81290472,12.57182244,24.90535067,25.94368255,24.962,39.69551182,68.54
Vanuatu,2022,0-100,3_pillars_10_dims,31.10658853,27.0300747,22.7643215,43.52536941,0.0,24.20163197,41.98582,41.93284682,22.10678386,15.25960423,30.92657639,26.08666667,38.06945483,66.42
