pais_original,iso3,entity_type,aparece_2019,aparece_2020,aparece_2021,aparece_2022,aparece_2023,aparece_2024,aparece_2025,total_apariciones
Ethiopia,ETH,pais,True,True,True,True,True,True,True,7
Fiji,FJI,pais,True,True,True,True,True,True,True,7
Finland,FIN,pais,True,True,True,True,True,True,True,7
France,FRA,pais,True,True,True,True,True,True,True,7
Gabon,GAB,pais,True,True,True,True,True,True,True,7
Gambia,GMB,pais,False,True,True,True,False,False,False,3
Gambia (Republic of The),GMB,pais,False,False,False,False,True,True,True,3
Gambia (the),GMB,pais,True,False,False,False,False,False,False,1
Georgia,GEO,pais,True,True,True,True,True,True,True,7
Germany,DEU,pais,True,True,True,True,True,True,True,7
Ghana,GHA,pais,True,True,True,True,True,True,True,7
Greece,GRC,pais,True,True,True,True,True,True,True,7
Grenada,GRD,pais,True,True,False,True,True,True,True,6
Guatemala,GTM,pais,True,True,True,True,True,True,True,7
Guinea,GIN,pais,True,True,True,True,True,True,True,7
Guinea Bissau,GNB,pais,False,True,False,True,True,True,True,5
Guinea-Bissau,GNB,pais,True,False,False,False,False,False,False,1
Guyana,GUY,pais,True,True,False,True,True,True,True,6
Haiti,HTI,pais,True,True,True,True,True,True,True,7
Honduras,HND,pais,True,True,True,True,True,True,True,7
Hungary,HUN,pais,True,True,True,True,True,True,True,7
Iceland,ISL,pais,True,True,True,True,True,True,True,7
India,IND,pais,True,True,True,True,True,True,True,7
Indonesia,IDN,pais,True,True,True,True,True,True,True,7
Iran,IRN,pais,False,True,True,True,False,False,False,3
Iran (Islamic Republic of),IRN,pais,True,False,False,False,True,True,True,4
Iraq,IRQ,pais,True,True,True,True,True,True,True,7
Ireland,IRL,pais,True,True,True,True,True,True,True,7
Israel,ISR,pais,True,True,True,True,True,True,True,7
Italy,ITA,pais,True,True,True,True,True,True,True,7
Jamaica,JAM,pais,True,True,True,True,True,True,True,7
Japan,JPN,pais,True,True,True,True,True,True,True,7
Jordan,JOR,pais,True,True,True,True,True,True,True,7
Kazakhstan,KAZ,pais,True,True,True,True,True,True,True,7
Kenya,KEN,pais,True,True,True,True,True,True,True,7
Kiribati,KIR,pais,True,True,False,True,True,True,True,6
Kuwait,KWT,pais,True,True,True,True,True,True,True,7
