raw_entity_name,iso3_resuelto,country_name_canonical,entity_type_final,confidence_score,action,review_status
Indonesia,IDN,Indonesia,country_iso3,100.0,approved,auto_match_requires_human_audit
Tunisia,TUN,Tunisia,country_iso3,100.0,approved,auto_match_requires_human_audit
Zambia,ZMB,Zambia,country_iso3,100.0,approved,auto_match_requires_human_audit
Algeria,DZA,Algeria,country_iso3,100.0,approved,auto_match_requires_human_audit
Cote D'Ivoire,CIV,Cote D'Ivoire,country_iso3,100.0,approved,auto_match_requires_human_audit
Bolivia,BOL,Bolivia,country_iso3,100.0,approved,auto_match_requires_human_audit
Iraq,IRQ,Iraq,country_iso3,100.0,approved,auto_match_requires_human_audit
Paraguay,PRY,Paraguay,country_iso3,100.0,approved,auto_match_requires_human_audit
Morocco,MAR,Morocco,country_iso3,100.0,approved,auto_match_requires_human_audit
Gambia,GMB,Gambia,country_iso3,100.0,approved,auto_match_requires_human_audit
Thailand,THA,Thailand,country_iso3,100.0,approved,auto_match_requires_human_audit
Nicaragua,NIC,Nicaragua,country_iso3,100.0,approved,auto_match_requires_human_audit
Iran,IRN,Iran,country_iso3,100.0,approved,auto_match_requires_human_audit
Pakistan,PAK,Pakistan,country_iso3,100.0,approved,auto_match_requires_human_audit
Angola,AGO,Angola,country_iso3,100.0,approved,auto_match_requires_human_audit
Madagascar,MDG,Madagascar,country_iso3,100.0,approved,auto_match_requires_human_audit
Malawi,MWI,Malawi,country_iso3,100.0,approved,auto_match_requires_human_audit
Mozambique,MOZ,Mozambique,country_iso3,100.0,approved,auto_match_requires_human_audit
Benin,BEN,Benin,country_iso3,100.0,approved,auto_match_requires_human_audit
Burkina Faso,BFA,Burkina Faso,country_iso3,100.0,approved,auto_match_requires_human_audit
