iso3,country_name,region,income_group,value_used_for_ranking,question_id,question_label,outcome,outcome_label,value_type,rank_desc,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,interpretation_label,missingness_flag,why_high_or_low_short
SGP,Singapore,East Asia & Pacific,High income,100.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,1.0,40.0,0.9651162790697675,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
NOR,Norway,Europe & Central Asia,High income,21.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,24.0,20.0,0.46511627906976744,43,False,False,middle_performer,False,desempeño intermedio relativo
IRL,Ireland,Europe & Central Asia,High income,27.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,20.0,24.0,0.5581395348837209,43,False,False,middle_performer,False,desempeño intermedio relativo
FRA,France,Europe & Central Asia,High income,44.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,10.0,34.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
ESP,Spain,Europe & Central Asia,High income,16.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,25.0,19.0,0.4418604651162791,43,False,False,middle_performer,False,desempeño intermedio relativo
NZL,New Zealand,East Asia & Pacific,High income,38.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,13.0,31.0,0.7209302325581395,43,False,False,middle_performer,False,desempeño intermedio relativo
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,33.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,16.0,27.0,0.6395348837209303,43,False,False,middle_performer,False,desempeño intermedio relativo
GBR,United Kingdom,Europe & Central Asia,High income,77.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,6.0,38.0,0.8837209302325582,43,False,False,high_performer,False,desempeño alto relativo
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,43.0,1.0,0.023255813953488372,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra
AUS,Australia,East Asia & Pacific,High income,36.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,15.0,29.0,0.6744186046511628,43,False,False,middle_performer,False,desempeño intermedio relativo
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,100.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,1.0,40.0,0.9651162790697675,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
BEL,Belgium,Europe & Central Asia,High income,25.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,21.0,22.0,0.5232558139534884,43,False,False,middle_performer,False,desempeño intermedio relativo
CAN,Canada,North America,High income,100.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,1.0,40.0,0.9651162790697675,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
CHE,Switzerland,Europe & Central Asia,High income,72.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,7.0,37.0,0.8604651162790697,43,False,False,high_performer,False,desempeño alto relativo
SWE,Sweden,Europe & Central Asia,High income,47.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,9.0,35.0,0.813953488372093,43,False,False,high_performer,False,desempeño alto relativo
