ECONOMY_NAME,ISO3,ISO2,POP,NGDPD,PPPPC,INCOME,REGION_WB,REG_UN,REG_UN_CODE,SubReg,EU27,YEAR,PPPGDP
Belgium,BEL,,11632,,55919,HI,,Europe,EUR,,,2022,645.4
Benin,BEN,,12451,,3720,LM,,Sub-Saharan Africa,SSA,,,2022,46.5
Bosnia and Herzegovina,BIH,,3263,,16302,UM,,Europe,EUR,,,2022,53.2
Botswana,BWA,,2397,,17163,UM,,Sub-Saharan Africa,SSA,,,2022,41.1
Brazil,BRA,,213993,,16169,UM,,Latin America and the Caribbean,LCN,,,2022,3437.6
Brunei Darussalam,BRN,,442,,65675,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,30.3
Bulgaria,BGR,,6897,,25847,UM,,Europe,EUR,,,2022,177.7
Burkina Faso,BFA,,21497,,2444,LI,,Sub-Saharan Africa,SSA,,,2022,52.6
Burundi,BDI,,12255,,779,LI,,Sub-Saharan Africa,SSA,,,2022,9.5
Cambodia,KHM,,16946,,4930,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,78.1
Cameroon,CMR,,27224,,3860,LM,,Sub-Saharan Africa,SSA,,,2022,105.1
Canada,CAN,,38068,,53089,HI,,Northern America,NAC,,,2022,2027.4
Chile,CHL,,19212,,26513,HI,,Latin America and the Caribbean,LCN,,,2022,522.8
China,CHN,,1444216,,19090,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,27072
Colombia,COL,,51266,,15922,UM,,Latin America and the Caribbean,LCN,,,2022,812.8
Costa Rica,CRI,,5139,,21592,UM,,Latin America and the Caribbean,LCN,,,2022,111.9
Croatia,HRV,,4082,,31112,HI,,Europe,EUR,,,2022,124.8
Cyprus,CYP,,1216,,42832,HI,,Northern Africa and Western Asia,NAWA,,,2022,38.6
Czech Republic,CZE,,10725,,43714,HI,,Europe,EUR,,,2022,469.1
Côte d'Ivoire,CIV,,27054,,5724,LM,,Sub-Saharan Africa,SSA,,,2022,158.3
Denmark,DNK,,5813,,63405,HI,,Europe,EUR,,,2022,370.3
Dominican Republic,DOM,,10954,,20944,UM,,Latin America and the Caribbean,LCN,,,2022,220.7
Ecuador,ECU,,17888,,11529,UM,,Latin America and the Caribbean,LCN,,,2022,204.7
Egypt,EGY,,104258,,13422,LM,,Northern Africa and Western Asia,NAWA,,,2022,1381.1
El Salvador,SLV,,6518,,9551,LM,,Latin America and the Caribbean,LCN,,,2022,62.3
Estonia,EST,,1325,,41892,HI,,Europe,EUR,,,2022,55.7
Ethiopia,ETH,,117876,,3024,LI,,Sub-Saharan Africa,SSA,,,2022,298.6
Finland,FIN,,5548,,53084,HI,,Europe,EUR,,,2022,293.6
France,FRA,,65426,,50876,HI,,Europe,EUR,,,2022,3322.3
Georgia,GEO,,3980,,16590,UM,,Northern Africa and Western Asia,NAWA,,,2022,61.6
Germany,DEU,,83900,,58150,HI,,Europe,EUR,,,2022,4843.4
Ghana,GHA,,31732,,6190,LM,,Sub-Saharan Africa,SSA,,,2022,193.6
Greece,GRC,,10371,,31821,HI,,Europe,EUR,,,2022,339.7
Guatemala,GTM,,18250,,8895,UM,,Latin America and the Caribbean,LCN,,,2022,163.1
Guinea,GIN,,13497,,2818,LI,,Sub-Saharan Africa,SSA,,,2022,40.3
Honduras,HND,,10063,,5767,LM,,Latin America and the Caribbean,LCN,,,2022,58.3
"Hong Kong, China",HKG,,7553,,65403,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,488.7
Hungary,HUN,,9634,,36849,HI,,Europe,EUR,,,2022,359.9
Iceland,ISL,,343,,59268,HI,,Europe,EUR,,,2022,21.9
India,IND,,1393409,,7314,LM,,Central and Southern Asia,CSA,,,2022,10181.2
Indonesia,IDN,,276362,,12967,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,3530.3
Iran (Islamic Republic of),IRN,,85029,,13993,LM,,Central and Southern Asia,CSA,,,2022,1189.2
Iraq,IRQ,,41179,,10415,UM,,Northern Africa and Western Asia,NAWA,,,2022,428.9
Ireland,IRL,,4983,,111360,HI,,Europe,EUR,,,2022,561.5
Israel,ISR,,8790,,44966,HI,,Northern Africa and Western Asia,NAWA,,,2022,421.8
Italy,ITA,,60367,,45267,HI,,Europe,EUR,,,2022,2697.1
Jamaica,JAM,,2973,,10815,UM,,Latin America and the Caribbean,LCN,,,2022,29.6
Japan,JPN,,126051,,44935,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,5633.5
Jordan,JOR,,10269,,10821,UM,,Northern Africa and Western Asia,NAWA,,,2022,111.7
Kazakhstan,KAZ,,18995,,28043,UM,,Central and Southern Asia,CSA,,,2022,536.3
Kenya,KEN,,54986,,5407,LM,,Sub-Saharan Africa,SSA,,,2022,269.3
Kuwait,KWT,,4329,,44609,HI,,Northern Africa and Western Asia,NAWA,,,2022,211.3
Kyrgyzstan,KGZ,,6628,,5187,LM,,Central and Southern Asia,CSA,,,2022,34.5
Lao People's Democratic Republic,LAO,,7379,,8444,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,62.3
Latvia,LVA,,1867,,34169,HI,,Europe,EUR,,,2022,65.1
Lithuania,LTU,,2690,,42091,HI,,Europe,EUR,,,2022,117.6
Luxembourg,LUX,,635,,126569,HI,,Europe,EUR,,,2022,80.8
