question,tier,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q6,primary,oxford_government_digital_policy,OLS_full,wb_government_effectiveness_z,-0.7662120065937188,17.593713344560054,0.9657172819649007,-64.42904465871666,84.93265004433924,0.648,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_rule_of_law_z,6.178482891979309,12.889295271735575,0.6371607615825745,-53.90734552540635,62.05978907536726,0.915,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_regulatory_quality_z,-9.841800086972023,15.490502169194505,0.5327819215439177,-69.18589678892478,52.35112948411912,0.6,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wipo_in_score_z,10.32896631821181,13.016974082877326,0.4372847579655984,-35.94183817102112,53.57208020244481,0.485,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_mobile_subscriptions_per100_z,1.0789131568333006,2.2797306049831656,0.641417192169313,-12.077330093133442,13.333135653302763,0.79,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_secure_servers_per_1m_z,3.3217218378408644,2.9933284265041364,0.28097287139680416,-8.517363635481054,12.850066735659498,0.612,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_electric_consumption_kwh_pc_z,0.46751935302788805,2.1680276633284468,0.8315643107341967,-11.54206351567992,9.835160217838991,0.934,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,const,64.6579080362036,12.539973522005342,5.616066589581591e-05,16.987843481882276,118.71233948376373,0.028,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,__model_metadata__,,,,,,,36,,,,42,68.91,median,18.0,18.0,0.6806666666666665,0.22534812574720423,,"{""penalty"":""l2"",""C"":1.0}",,
Q6,primary,oxford_government_digital_policy,Logistic,n_binding,-0.12392723567378823,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,n_non_binding,0.6628308320472747,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,n_hybrid,-0.626868877704,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,regulatory_intensity,-0.06402766082892757,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,n_regulatory_mechanisms,-0.08796528133051332,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_gdp_per_capita_ppp_z,-0.6421646103705405,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_internet_penetration_z,-0.26063546519362224,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_tertiary_education_enrollment_z,0.11678691415647495,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_rd_expenditure_pct_gdp_z,-0.6874928995101294,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_researchers_rd_per_million_z,0.1767481325594458,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_government_effectiveness_z,-0.1512609264608576,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_rule_of_law_z,0.43431280249545606,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_regulatory_quality_z,0.203748181441109,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wipo_in_score_z,0.21600821050470267,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_mobile_subscriptions_per100_z,-0.07741290298351837,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_secure_servers_per_1m_z,0.7869596582038154,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,Logistic,wb_electric_consumption_kwh_pc_z,0.38114408376200276,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,n_binding,16.99348301765722,22.332997913669455,0.45604908128251864,-158.18730105292758,157.42506068960782,0.825,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,0.5700613516031483,False
Q6,primary,oxford_ind_data_governance,OLS_full,n_non_binding,-17.47192646243795,14.23668205192617,0.2347193681048123,-117.83945195982695,93.89007853965012,0.683,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,n_hybrid,6.675795221668446,13.973283746705675,0.6382754457193051,-99.51419838982508,104.32113245804918,0.795,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,regulatory_intensity,-83.88815245325273,177.45455146485205,0.6417906066027773,-1587.406969501381,1417.9293748810446,0.983,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,n_regulatory_mechanisms,6.1973517768871496,6.547168214893217,0.3557419939938602,-50.056067023721624,58.78097114099057,0.785,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_gdp_per_capita_ppp_z,-6.3237386287356046,4.474038939236694,0.17370421286896404,-25.755135356201,16.499797875738693,0.499,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_internet_penetration_z,-2.6365904433078855,4.1839835340585,0.5360940931771132,-18.059149437013012,17.78780978450656,0.808,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_tertiary_education_enrollment_z,-1.0753600294843069,2.5074115086155713,0.672839210943162,-15.14732043485929,8.482007367992665,0.665,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_rd_expenditure_pct_gdp_z,-11.136791614087599,11.080652555650042,0.3274941371058674,-60.603823733562905,25.48756178629981,0.333,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_researchers_rd_per_million_z,10.635411863963801,9.58473596218324,0.28101016676531976,-35.707506362327166,41.495355128316085,0.589,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_government_effectiveness_z,11.825157316831806,18.31536291048402,0.5262328641085912,-77.89708232231882,71.4912339575548,0.974,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_rule_of_law_z,1.7817012387254838,13.417981522088166,0.8957599483961814,-36.57995049992503,111.01603015744165,0.782,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
