question,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wb_government_effectiveness_z,3.619935216396172,8.222722115810322,0.6647338799601334,-19.382739358405065,41.97856130414338,0.448,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wb_rule_of_law_z,-3.688561396286852,6.024032062616271,0.5475929176832781,-29.91557491132178,20.036581273176438,0.464,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wb_regulatory_quality_z,12.541127020429757,7.239750487979121,0.09943041659698496,-16.542914424898523,39.781757650874496,0.384,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wipo_in_score_z,1.6224188122196406,6.083704933461371,0.792586347731739,-11.346640075753173,26.19355193886252,0.419,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wb_mobile_subscriptions_per100_z,0.2421166554394527,1.0654709950404428,0.8226650428297666,-4.9072066334048206,5.643623444173823,0.849,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wb_secure_servers_per_1m_z,1.56578728716014,1.3989831123461873,0.2769914294133905,-4.775112268081106,5.189578891659539,0.776,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,wb_electric_consumption_kwh_pc_z,0.7483715834613642,1.0132647193806588,0.4691912587181237,-4.855573422716532,5.4275398859312585,1.0,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,OLS_full,const,69.99225780287705,5.860770582746334,2.8097142234745093e-10,53.702228593861605,98.88942181666397,0.0,36,0.8365317244730611,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,__model_metadata__,,,,,,,36,,,,42,70.07,median,18.0,18.0,0.9726666666666667,0.06714495099740891,,"{""penalty"":""l2"",""C"":1.0}",,
Q5,oxford_ind_adoption_emerging_tech,Logistic,n_binding,-0.005186002194932866,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,n_non_binding,0.2140603837572394,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,n_hybrid,-0.05949711137210774,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,regulatory_intensity,-0.0033107735726712138,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,n_regulatory_mechanisms,0.14937727019019878,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_gdp_per_capita_ppp_z,0.1985007379035683,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_internet_penetration_z,-0.41810681812394573,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_tertiary_education_enrollment_z,-0.38506717847697514,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_rd_expenditure_pct_gdp_z,0.2738257608045939,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_researchers_rd_per_million_z,0.5689222680444563,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_government_effectiveness_z,0.517773918240475,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_rule_of_law_z,0.6285511874793748,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_regulatory_quality_z,0.7116373110277016,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wipo_in_score_z,0.5319310270500957,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_mobile_subscriptions_per100_z,0.5756516164151664,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_secure_servers_per_1m_z,0.931725472872698,,,,,,36,,,,42,,,,,,,,,,
Q5,oxford_ind_adoption_emerging_tech,Logistic,wb_electric_consumption_kwh_pc_z,-0.29060561777113453,,,,,,36,,,,42,,,,,,,,,,
