iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
PRY,Paraguay,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
QAT,QAT,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ROU,ROU,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
RUS,Russian Federation (the),country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
RWA,RWA,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SEN,Senegal,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SLV,SLV,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SRB,SRB,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SVK,Slovak Republic,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SVN,Slovenia,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SWE,Sweden,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
TGO,TGO,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
THA,THA,country_iso3,East Asia & Pacific,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
TJK,Tajikistan,country_iso3,Europe & Central Asia,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
TUN,Tunisia,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
TZA,Tanzania,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
UGA,UGA,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
UKR,Ukraine,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
URY,Uruguay,country_iso3,Latin America & Caribbean ,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
UZB,Uzbekistan,country_iso3,Europe & Central Asia,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
VEN,Venezuela (Bolivarian Republic of),country_iso3,Latin America & Caribbean ,Not classified,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ZAF,ZAF,country_iso3,Sub-Saharan Africa ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ZMB,Zambia,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
