variable_matriz,source_id,bloque_tematico,unit,direction,is_primary,n_total,n_non_null,n_missing,pct_complete,pct_missing
wb_patent_applications_residents,wb,tech_infrastructure_control,count,unknown,True,199,135,64,67.84,32.16
wipo_in_5_2_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,134,65,67.34,32.66
wipo_in_3_3_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,134,65,67.34,32.66
wipo_in_3_2_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,134,65,67.34,32.66
wipo_in_3_2_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,134,65,67.34,32.66
wipo_in_5_1_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,134,65,67.34,32.66
wipo_in_1_2_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,133,66,66.83,33.17
wipo_in_4_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_isoenv_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_rdcompexp_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp72_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_ictacc_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_isoqual_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp73_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp61_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp42_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp41_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_apptarriff_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
