variable_matriz,bloque_tematico,source_id,unit,pct_complete,n_outliers_iqr_1_5,suggest_log_transform,fe_recommendation
wipo_in_1_2_score,tech_infrastructure_control,wipo,score_0_100,70.85,0,False,collapse_redundant
wipo_in_1_3_1_score,tech_infrastructure_control,wipo,score_0_100,68.34,0,False,keep_with_caution
wipo_in_1_3_2_score,tech_infrastructure_control,wipo,score_0_100,46.73,2,False,keep_with_caution
wipo_in_1_3_score,tech_infrastructure_control,wipo,score_0_100,69.35,0,False,keep_with_caution
wipo_in_1_score,tech_infrastructure_control,wipo,score_0_100,70.85,0,False,collapse_redundant
wipo_in_2_1_1_score,tech_infrastructure_control,wipo,score_0_100,68.84,5,False,keep_with_caution
wipo_in_2_1_2_score,tech_infrastructure_control,wipo,score_0_100,58.29,2,False,keep_with_caution
wipo_in_2_1_3_score,tech_infrastructure_control,wipo,score_0_100,65.33,0,False,keep_with_caution
wipo_in_2_1_4_score,tech_infrastructure_control,wipo,score_0_100,43.22,0,False,keep_with_caution
wipo_in_2_1_5_score,tech_infrastructure_control,wipo,score_0_100,68.84,6,False,keep_with_caution
wipo_in_2_1_score,tech_infrastructure_control,wipo,score_0_100,70.85,1,False,keep_primary
wipo_in_2_2_1_score,tech_infrastructure_control,wipo,score_0_100,67.84,1,False,keep_with_caution
wipo_in_2_2_2_score,tech_infrastructure_control,wipo,score_0_100,59.8,0,False,keep_with_caution
wipo_in_2_2_3_score,tech_infrastructure_control,wipo,score_0_100,61.31,5,True,transform_log
wipo_in_2_2_score,tech_infrastructure_control,wipo,score_0_100,68.34,1,False,keep_with_caution
wipo_in_2_3_1_score,tech_infrastructure_control,wipo,score_0_100,59.3,3,False,keep_with_caution
wipo_in_2_3_2_score,tech_infrastructure_control,wipo,score_0_100,60.8,8,False,keep_with_caution
wipo_in_2_3_3_score,tech_infrastructure_control,wipo,score_0_100,70.35,0,False,keep_primary
wipo_in_2_3_4_score,tech_infrastructure_control,wipo,score_0_100,70.85,2,False,collapse_redundant
wipo_in_2_3_score,tech_infrastructure_control,wipo,score_0_100,70.85,3,False,keep_primary
wipo_in_2_score,tech_infrastructure_control,wipo,score_0_100,70.85,0,False,keep_primary
wipo_in_3_1_1_score,tech_infrastructure_control,wipo,score_0_100,70.35,1,False,collapse_redundant
wipo_in_3_1_2_score,tech_infrastructure_control,wipo,score_0_100,70.85,15,False,keep_with_caution
wipo_in_3_1_3_score,tech_infrastructure_control,wipo,score_0_100,70.35,0,False,keep_primary
wipo_in_3_1_4_score,tech_infrastructure_control,wipo,score_0_100,67.84,0,False,keep_with_caution
wipo_in_3_1_score,tech_infrastructure_control,wipo,score_0_100,70.85,1,False,collapse_redundant
wipo_in_3_2_1_score,tech_infrastructure_control,wipo,score_0_100,67.34,9,True,transform_log
wipo_in_3_2_2_score,tech_infrastructure_control,wipo,score_0_100,65.83,0,False,keep_with_caution
wipo_in_3_2_3_score,tech_infrastructure_control,wipo,score_0_100,67.34,6,False,keep_with_caution
