variable_matriz,bloque_tematico,n,pct_complete,mean,median,std,mad,min,p05,p25,p75,p95,max,iqr,skewness,kurtosis,suggest_log_transform
stanford_fig_3_4_4_fig_3_4_4_number_of_rai_submissions,regulatory_treatment,10,5.03,181.1,91.0,244.50651,28.5,29.0,40.25,59.75,109.75,623.9,812.0,50.0,1.9995,2.5917,False
stanford_fig_3_4_5_fig_3_4_5_number_of_rai_submissions,regulatory_treatment,84,42.21,123.630952,6.0,478.875711,5.0,1.0,1.0,2.0,40.0,373.7,3865.0,38.0,6.5404,45.4239,True
stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,regulatory_treatment,58,29.15,0.724138,1.0,0.450851,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.003,-0.994,False
stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,regulatory_treatment,58,29.15,0.431034,0.0,0.499546,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2785,-1.9224,False
stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,regulatory_treatment,58,29.15,0.586207,1.0,0.496814,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.3501,-1.8775,False
stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,regulatory_treatment,58,29.15,0.327586,0.0,0.473432,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7347,-1.4602,False
stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,regulatory_treatment,58,29.15,0.12069,0.0,0.328611,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.3287,3.423,True
stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,regulatory_treatment,58,29.15,0.413793,0.0,0.496814,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3501,-1.8775,False
stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,regulatory_treatment,58,29.15,0.672414,1.0,0.473432,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.7347,-1.4602,False
stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,regulatory_treatment,58,29.15,0.431034,0.0,0.499546,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2785,-1.9224,False
stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,regulatory_treatment,138,69.35,28.580217,21.55,29.484999,21.55,0.0,0.0,0.0,48.15,87.4745,97.31,48.15,0.7317,-0.6506,False
stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,regulatory_treatment,138,69.35,19.437899,6.3,24.822798,6.3,0.0,0.0,0.0,34.3675,76.6255,90.8,34.3675,1.2101,0.4404,False
stanford_fig_3_7_2_fig_3_7_2_gender_equality,regulatory_treatment,138,69.35,14.74413,5.6,20.32966,5.6,0.0,0.0,0.0,23.15,53.2005,95.99,23.15,1.7576,3.0849,False
stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,regulatory_treatment,138,69.35,15.447971,4.635,22.608404,4.635,0.0,0.0,0.0,26.655,71.033,89.8,26.655,1.6491,1.9188,False
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,ecosystem_outcome,39,19.6,5.615385,2.0,10.857002,1.0,1.0,1.0,1.0,5.0,24.3,62.0,4.0,4.0385,17.2972,True
wb_control_of_corruption,institutional_control,196,98.49,-0.064909,-0.26011,1.013736,0.761642,-2.064721,-1.519404,-0.842945,0.641943,1.834618,2.287475,1.484888,0.4067,-0.6963,False
wb_control_of_corruption_se,institutional_control,196,98.49,0.189207,0.169688,0.055165,0.01096,0.147755,0.151682,0.160738,0.192637,0.304284,0.435253,0.031899,2.709,7.5464,True
wb_education_expenditure_pct_gdp,socioeconomic_control,179,89.95,4.392079,4.24739,2.09124,1.080189,8e-06,1.731487,3.100381,5.311126,7.643343,16.39053,2.210746,1.6548,6.7802,False
wb_electric_consumption_kwh_pc,tech_infrastructure_control,147,73.87,4210.021792,2585.270432,5772.840952,2066.972775,13.717021,100.462735,823.183464,5244.978822,13709.733998,48997.945698,4421.795358,4.0637,24.6402,True
wb_exports_pct_gdp,socioeconomic_control,172,86.43,43.524018,35.538202,32.91418,15.059086,0.72093,9.692779,22.715695,54.413127,93.243928,191.53297,31.697432,2.1845,6.3719,True
wb_fdi_net_inflows,socioeconomic_control,191,95.98,7150971478.380333,1019486410.0,31392696981.97677,998885430.0,-108395568633.839,-3687292364.393795,130012452.460864,4617882394.441825,46107243703.19945,297058000000.0,4487869941.980962,4.6131,40.4461,True
wb_fdi_pct_gdp,socioeconomic_control,189,94.97,-2.763957,2.478967,96.897212,1.802556,-1303.108267,-1.924557,0.694133,4.478085,12.053634,170.537959,3.783951,-12.8617,170.5182,True
wb_fixed_broadband_per100,tech_infrastructure_control,195,97.99,17.307395,12.464073,16.011447,11.94552,0.0,0.073248,1.869375,30.271781,45.187491,55.678082,28.402406,0.5275,-1.0892,False
wb_gdp_current_usd,socioeconomic_control,194,97.49,566890166706.5104,46731190672.875595,2536102940465.15,44486114043.34607,62280311.585217,1120842989.757025,13834468887.138401,286826791201.052,2178030851466.93,28750956130731.2,272992322313.9136,9.1073,90.2771,True
