variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
oxford_governance_2025,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,52.57841,54.27,26.177117,19.89,1.39,2.2362,7.906,12.412,32.935,74.14,85.462,90.853,94.0302,94.57,41.205,0.3665,-0.2666,-1.0142,0,0,0,0,0,shapiro,0.9566,1.1e-05,False,ok
oxford_governance_ethics,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,56.658644,54.313687,24.642343,20.349389,0.114201,7.388363,16.440331,25.444478,38.901827,78.886302,91.069533,94.158027,96.918415,97.376842,39.984475,0.3747,-0.0454,-0.9244,0,0,0,0,0,shapiro,0.9651,0.000101,False,ok
oxford_governance_principles,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,54.239538,55.25,27.811638,19.75,0.0,0.0,4.5,12.4,37.125,75.0,95.65,100.0,100.0,100.0,37.875,0.3575,-0.1492,-0.7633,3,0,0,0,0,shapiro,0.9602,2.6e-05,False,ok
oxford_government,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,47.294039,39.40606,23.747384,17.00511,7.521644,8.250017,16.047712,19.800799,27.686054,71.4382,80.543236,84.582,86.910132,90.962032,43.752146,0.4315,0.2547,-1.3589,0,0,0,0,0,shapiro,0.9171,0.0,False,ok
oxford_government_digital_policy,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,37.651179,35.0,29.199889,26.2,0.0,0.0,0.0,0.87,10.0,62.0,77.786,84.908,96.7278,99.38,52.0,0.7486,0.229,-1.2526,13,0,0,0,0,shapiro,0.9237,0.0,False,ok
oxford_human_capital,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,38.911502,36.357674,14.368707,9.604025,11.00685,14.717452,19.819432,23.295402,27.555338,48.879571,61.808656,67.061061,69.989629,76.472498,21.324233,0.2642,0.5382,-0.454,0,0,0,0,2,shapiro,0.9616,4.1e-05,False,ok
oxford_human_capital_2025,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,40.43559,34.84,20.665332,14.56,6.18,12.8846,16.098,17.634,23.065,57.015,72.53,78.52,81.8016,85.17,33.95,0.4179,0.5512,-0.9465,0,0,0,0,0,shapiro,0.9205,0.0,False,ok
oxford_ind_5g_infrastructure,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,50.259067,100.0,50.129366,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,-0.0104,-1.9999,96,0,0,0,0,shapiro,0.6364,0.0,False,ok
oxford_ind_accountability,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,48.784456,50.0,19.981584,17.2,9.6,12.12,16.72,21.04,31.4,66.8,74.56,78.48,82.432,85.4,35.4,0.344,-0.1211,-1.1374,0,0,0,0,0,shapiro,0.9607,3.3e-05,False,ok
oxford_ind_adoption_emerging_tech,ecosystem_outcome,oxford,score_0_100,higher_better,True,184,15,92.46,47.28196,44.222308,21.404982,14.452308,0.0,3.2119,16.4685,19.985833,32.455,60.7725,78.483,85.227,97.426,100.0,28.3175,0.3268,0.36,-0.2182,1,0,0,0,5,shapiro,0.9801,0.009901,False,ok
oxford_ind_ai_research_papers_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,34.487905,32.823658,25.515668,22.510375,0.0,0.0,0.0,0.0,10.313284,58.131146,67.747652,73.56572,89.39989,100.0,47.817862,0.6858,0.212,-1.0844,30,0,0,0,0,shapiro,0.9402,0.0,False,ok
oxford_ind_ai_strategy,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,37.305699,0.0,46.569782,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.5236,-1.636,114,0,0,0,0,shapiro,0.658,0.0,False,ok
oxford_ind_ai_unicorns_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,2.183674,0.0,10.558777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.999162,46.203716,100.0,0.0,,6.4937,48.3631,181,0,12,12,0,shapiro,0.2156,0.0,True,ok
oxford_ind_broadband_quality,ecosystem_outcome,oxford,score_0_100,higher_better,True,184,15,92.46,42.598167,39.72,10.490422,5.95,18.4,26.586,31.375,32.836364,34.875,51.8,55.57,62.39,73.702,85.3,16.925,0.1498,1.0109,1.2199,0,0,1,0,13,shapiro,0.9151,0.0,False,ok
oxford_ind_company_investment_emerging_tech,ecosystem_outcome,oxford,score_0_100,higher_better,True,184,15,92.46,43.089164,37.75,19.034375,9.416667,0.0,11.9575,19.0375,23.325,30.5625,55.445312,70.45,79.5,92.7225,100.0,24.882812,0.2494,0.7735,0.1183,1,0,2,0,17,shapiro,0.9438,1e-06,False,ok
oxford_ind_cost_internet_device,ecosystem_outcome,oxford,score_0_100,higher_better,True,191,8,95.98,52.898444,53.02,23.533005,16.21,0.0,0.0,14.49,21.241,38.070909,69.587143,83.73,87.87,100.0,100.0,31.516234,0.3057,-0.125,-0.4724,4,0,0,0,0,shapiro,0.9861,0.057697,False,ok
oxford_ind_cybersecurity,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,52.80091,53.23,34.879632,35.49,1.35,1.7084,4.236,9.146,18.23,88.82,97.312,97.982,99.54,100.0,70.59,0.6667,-0.0239,-1.6172,0,0,0,0,0,shapiro,0.8776,0.0,False,ok
oxford_ind_data_governance,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,25.388601,0.0,32.322903,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,100.0,100.0,50.0,,0.8989,-0.2844,111,0,0,0,0,shapiro,0.7131,0.0,False,ok
oxford_ind_data_protection_laws,ecosystem_outcome,oxford,score_0_100,higher_better,True,192,7,96.48,78.841527,100.0,36.971876,0.0,0.0,0.0,0.0,0.0,57.706767,100.0,100.0,100.0,100.0,100.0,42.293233,0.0,-1.4029,0.2932,29,0,0,0,0,shapiro,0.5908,0.0,False,ok
oxford_ind_eng_tech_higher_ed_quality,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,18.621626,0.0,32.187522,0.0,0.0,0.0,0.0,0.0,0.0,23.644098,78.979085,84.842255,91.749025,100.0,23.644098,,1.31,-0.0532,139,0,38,2,0,shapiro,0.6042,0.0,False,ok
oxford_ind_ethical_principles,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,17.875648,0.0,36.502641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,,1.6698,0.9706,153,0,40,40,0,shapiro,0.5085,0.0,False,ok
oxford_ind_female_stem_graduates,ecosystem_outcome,oxford,score_0_100,higher_better,True,190,9,95.48,67.428264,68.06312,17.566246,8.9126,0.0,0.0,38.981896,50.407606,59.13107,76.812755,88.591804,94.978473,100.0,100.0,17.681685,0.1309,-1.0513,3.1745,4,0,5,4,14,shapiro,0.9211,0.0,False,ok
oxford_ind_foundational_it,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,57.751295,58.1,23.766135,20.4,0.3,6.352,18.8,25.54,38.2,79.2,87.32,91.04,96.436,99.0,41.0,0.3511,-0.2652,-0.9875,0,0,0,0,0,shapiro,0.9619,4.4e-05,False,ok
oxford_ind_gender_gap_internet,ecosystem_outcome,oxford,score_0_100,higher_better,True,184,15,92.46,92.992899,95.0,5.388611,3.275,72.0,76.32,84.0,86.5,90.0,96.666667,99.0,99.725,100.0,100.0,6.666667,0.0345,-1.1349,1.5515,0,0,6,0,9,shapiro,0.9076,0.0,False,ok
oxford_ind_github_activity_log,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,38.426688,38.914282,27.59817,24.535414,0.0,0.0,0.0,0.916044,11.146675,62.153479,75.984997,82.558039,85.882363,100.0,51.006804,0.6305,0.1164,-1.2488,18,0,0,0,0,shapiro,0.9369,0.0,False,ok
