var_a,var_b,method,mi,n_pairs,n_bins
oxford_ind_govt_effectiveness,wipo_out_7_2_3_score,mutual_information_quantile,0.962161,64,8
wipo_out_7_3_3_score,wipo_out_7_3_score,mutual_information_quantile,0.961829,139,8
wipo_in_1_2_score,wipo_out_7_2_3_score,mutual_information_quantile,0.961276,65,8
wb_gdp_per_capita_ppp,wipo_ictacc_score,mutual_information_quantile,0.960982,131,8
wipo_in_2_2_score,wipo_sp22_score,mutual_information_quantile,0.96047,129,8
ms_change_pp,ms_h2_2025_ai_diffusion_pct,mutual_information_quantile,0.959337,146,8
wipo_in_1_1_2_score,wipo_in_1_2_2_score,mutual_information_quantile,0.957821,141,8
oxford_ind_govt_effectiveness,wipo_in_score,mutual_information_quantile,0.957557,140,8
oxford_ind_github_activity_log,wipo_ictuse_score,mutual_information_quantile,0.957526,131,8
wipo_goveff_score,wipo_in_1_2_1_score,mutual_information_quantile,0.957315,132,8
wipo_in_4_3_score,wipo_sp43_score,mutual_information_quantile,0.957156,132,8
wipo_in_2_score,wipo_sp23_score,mutual_information_quantile,0.956952,132,8
oxford_ind_regulatory_quality,wipo_sp11_score,mutual_information_quantile,0.956506,131,8
wb_exports_pct_gdp,wb_trade_pct_gdp,mutual_information_quantile,0.956431,172,8
wipo_entmedia_score,wipo_sp11_score,mutual_information_quantile,0.956262,63,8
wipo_brandval_score,wipo_out_7_1_3_score,mutual_information_quantile,0.956079,112,8
oxford_ind_rd_spending_log,wipo_in_5_1_4_score,mutual_information_quantile,0.955971,105,8
wb_electric_consumption_kwh_pc,wb_gdp_per_capita_ppp,mutual_information_quantile,0.955839,141,8
wipo_regqua_score,wipo_sp11_score,mutual_information_quantile,0.953608,132,8
oxford_size,wipo_out_7_2_3_score,mutual_information_quantile,0.953501,64,8
wipo_in_1_1_score,wipo_in_score,mutual_information_quantile,0.953152,141,8
oxford_e_government_delivery,oxford_public_sector_adoption,mutual_information_quantile,0.952754,195,8
wb_rule_of_law,wipo_sp11_score,mutual_information_quantile,0.952556,132,8
oxford_ind_online_services,wipo_govolserv_score,mutual_information_quantile,0.951841,131,8
oxford_size,wipo_gii_score,mutual_information_quantile,0.948318,140,8
wipo_in_3_1_2_score,wipo_in_3_1_score,mutual_information_quantile,0.947036,141,8
wb_rule_of_law,wipo_regqua_score,mutual_information_quantile,0.946253,132,8
wipo_intelproprec_score,wipo_out_6_3_1_score,mutual_information_quantile,0.944604,114,8
wipo_in_2_3_2_score,wipo_sp23_score,mutual_information_quantile,0.943945,113,8
oxford_ai_infrastructure,oxford_total_score,mutual_information_quantile,0.943771,195,8
wb_government_effectiveness_se,wb_rule_of_law_se,mutual_information_quantile,0.943652,196,8
wipo_in_1_2_1_score,wipo_sp11_score,mutual_information_quantile,0.943289,132,8
oxford_ind_regulatory_quality,wipo_ruleol_score,mutual_information_quantile,0.943148,131,8
wipo_hitechimp_score,wipo_in_5_3_2_score,mutual_information_quantile,0.942808,131,8
wipo_c_hhi_score,wipo_in_4_3_2_score,mutual_information_quantile,0.941893,111,8
wipo_in_3_3_3_score,wipo_out_6_3_5_score,mutual_information_quantile,0.941608,139,8
wb_rd_expenditure_pct_gdp,wipo_sp23_score,mutual_information_quantile,0.940163,105,8
oxford_ai_infrastructure,wipo_gii_score,mutual_information_quantile,0.939551,140,8
wipo_entmedia_score,wipo_in_3_score,mutual_information_quantile,0.938268,63,8
wb_control_of_corruption,wipo_in_1_2_1_score,mutual_information_quantile,0.938037,141,8
wb_rule_of_law,wipo_out_7_2_3_score,mutual_information_quantile,0.937819,65,8
oxford_data_infrastructure,wipo_sp31_score,mutual_information_quantile,0.937179,131,8
oxford_development_diffusion,oxford_total_score,mutual_information_quantile,0.936941,195,8
wipo_in_2_3_4_score,wipo_qsrank_score,mutual_information_quantile,0.936845,132,8
oxford_maturity,wipo_gii_score,mutual_information_quantile,0.936838,140,8
oxford_governance_ethics,wipo_out_7_2_3_score,mutual_information_quantile,0.934003,64,8
wipo_polstab_score,wipo_sp11_score,mutual_information_quantile,0.933235,132,8
wipo_entmedia_score,wipo_out_7_3_score,mutual_information_quantile,0.933158,63,8
wipo_entmedia_score,wipo_in_1_2_2_score,mutual_information_quantile,0.931345,63,8
wipo_entmedia_score,wipo_knowintsemp_score,mutual_information_quantile,0.931198,58,8
wipo_in_1_1_score,wipo_polstab_score,mutual_information_quantile,0.931127,132,8
wipo_gii_score,wipo_resppop_score,mutual_information_quantile,0.930157,108,8
wipo_in_3_1_score,wipo_sp31_score,mutual_information_quantile,0.929446,132,8
wipo_in_3_1_1_score,wipo_in_3_1_score,mutual_information_quantile,0.929007,140,8
wipo_isoenv_score,wipo_isoqual_score,mutual_information_quantile,0.928079,132,8
wipo_in_3_2_2_score,wipo_logperf_score,mutual_information_quantile,0.928008,123,8
oxford_innovation_capacity,wipo_sp23_score,mutual_information_quantile,0.928005,131,8
oxford_ind_govt_effectiveness,wipo_entmedia_score,mutual_information_quantile,0.927983,62,8
oxford_technology_sector,wipo_in_2_3_score,mutual_information_quantile,0.927907,140,8
oxford_ind_telecom_infrastructure,wipo_out_7_2_3_score,mutual_information_quantile,0.927612,64,8
oxford_data_infrastructure,wipo_out_7_2_3_score,mutual_information_quantile,0.927612,64,8
wipo_ictuse_score,wipo_in_3_1_1_score,mutual_information_quantile,0.927328,132,8
oxford_societal_transition,wipo_out_7_2_3_score,mutual_information_quantile,0.926736,64,8
wipo_entmedia_score,wipo_sp31_score,mutual_information_quantile,0.925951,63,8
wipo_entmedia_score,wipo_patfam_score,mutual_information_quantile,0.925951,63,8
oxford_ind_govt_effectiveness,wb_control_of_corruption,mutual_information_quantile,0.925717,191,8
oxford_ind_regulatory_quality,wipo_entmedia_score,mutual_information_quantile,0.925609,62,8
oxford_total_score,wipo_entmedia_score,mutual_information_quantile,0.924493,62,8
wipo_resppop_score,wipo_sp23_score,mutual_information_quantile,0.924178,108,8
oxford_innovation_capacity,wipo_in_2_3_score,mutual_information_quantile,0.923835,140,8
wb_rule_of_law,wipo_in_1_1_score,mutual_information_quantile,0.923756,141,8
wb_control_of_corruption,wipo_sp11_score,mutual_information_quantile,0.922795,132,8
wb_government_effectiveness,wipo_in_1_score,mutual_information_quantile,0.922616,141,8
wipo_out_7_3_1_score,wipo_sp73_score,mutual_information_quantile,0.922612,132,8
wipo_ictservexp_score,wipo_out_6_3_4_score,mutual_information_quantile,0.922441,131,8
wb_regulatory_quality,wipo_out_7_2_3_score,mutual_information_quantile,0.921719,65,8
wipo_ictacc_score,wipo_sp31_score,mutual_information_quantile,0.921185,132,8
wipo_gerdperf_score,wipo_out_6_1_2_score,mutual_information_quantile,0.920928,85,8
oxford_ai_sector_maturity,oxford_development_diffusion,mutual_information_quantile,0.920695,195,8
oxford_ind_govt_effectiveness,wipo_in_1_1_1_score,mutual_information_quantile,0.92042,140,8
oxford_data_availability,oxford_data_infrastructure,mutual_information_quantile,0.920108,193,8
wipo_in_2_score,wipo_in_score,mutual_information_quantile,0.919741,141,8
wipo_in_1_2_score,wipo_in_score,mutual_information_quantile,0.919282,141,8
wipo_in_2_2_2_score,wipo_scienggrad_score,mutual_information_quantile,0.918774,109,8
wb_control_of_corruption,wipo_entmedia_score,mutual_information_quantile,0.917646,63,8
