bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
tech_infrastructure_control,wipo_sp13_score,numeric,wipo,score_0_100,True,132,66.33,132,71.27563,18.08377,31.33212,93.08035
tech_infrastructure_control,wipo_sp21_score,numeric,wipo,score_0_100,True,131,65.83,131,50.696749,21.417838,11.450474,82.521935
tech_infrastructure_control,wipo_sp22_score,numeric,wipo,score_0_100,True,130,65.33,130,33.086861,24.117432,0.975117,63.443919
tech_infrastructure_control,wipo_sp23_score,numeric,wipo,score_0_100,True,132,66.33,123,7.362044,32.126635,0.0,89.7857
tech_infrastructure_control,wipo_sp31_score,numeric,wipo,score_0_100,True,132,66.33,132,66.585998,34.209672,21.325005,94.791714
tech_infrastructure_control,wipo_sp32_score,numeric,wipo,score_0_100,True,132,66.33,132,28.614748,16.21732,2.640523,67.329878
tech_infrastructure_control,wipo_sp33_score,numeric,wipo,score_0_100,True,132,66.33,132,28.014241,21.212533,12.720935,60.441603
tech_infrastructure_control,wipo_sp41_score,numeric,wipo,score_0_100,True,132,66.33,132,40.595438,17.043869,0.327112,87.956719
tech_infrastructure_control,wipo_sp42_score,numeric,wipo,score_0_100,True,132,66.33,125,30.973329,17.991101,3.971318,88.443162
tech_infrastructure_control,wipo_sp43_score,numeric,wipo,score_0_100,True,132,66.33,132,68.680118,20.134517,26.749566,96.926945
tech_infrastructure_control,wipo_sp51_score,numeric,wipo,score_0_100,True,132,66.33,132,30.761634,23.950713,3.339196,78.08931
tech_infrastructure_control,wipo_sp52_score,numeric,wipo,score_0_100,True,132,66.33,132,20.391714,13.996748,1.234099,82.061374
tech_infrastructure_control,wipo_sp53_score,numeric,wipo,score_0_100,True,132,66.33,132,26.509392,18.538952,11.400624,70.702423
tech_infrastructure_control,wipo_sp61_score,numeric,wipo,score_0_100,True,132,66.33,132,14.734975,24.008403,0.384329,86.591084
tech_infrastructure_control,wipo_sp62_score,numeric,wipo,score_0_100,True,132,66.33,132,29.260724,16.328419,1.78207,56.877458
tech_infrastructure_control,wipo_sp63_score,numeric,wipo,score_0_100,True,132,66.33,132,16.140565,21.834824,0.307901,72.579194
tech_infrastructure_control,wipo_sp71_score,numeric,wipo,score_0_100,True,132,66.33,132,30.393738,23.291562,5.615891,74.0564
tech_infrastructure_control,wipo_sp72_score,numeric,wipo,score_0_100,True,132,66.33,132,14.035261,20.30093,0.039059,63.665201
tech_infrastructure_control,wipo_sp73_score,numeric,wipo,score_0_100,True,132,66.33,132,17.071235,22.905823,0.001615,72.489224
tech_infrastructure_control,wipo_statclustdev_score,numeric,wipo,score_0_100,True,127,63.82,127,46.47456,14.559048,25.863751,73.690796
tech_infrastructure_control,wipo_tertmob_score,numeric,wipo,score_0_100,True,111,55.78,109,11.998349,19.943631,0.0,100.0
tech_infrastructure_control,wipo_tradmkorig_score,numeric,wipo,score_0_100,True,127,63.82,124,29.52132,37.378737,0.0,100.0
tech_infrastructure_control,wipo_unirescoll_score,numeric,wipo,score_0_100,True,127,63.82,127,42.793318,17.676675,16.977513,79.216417
