bloque_tematico,variable_matriz,component,loading,explained_variance_ratio,status
ecosystem_outcome,oxford_ind_ict_skills,PC3,-0.076867,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_skills,PC4,-0.01598,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_skills,PC5,0.061037,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_goods_log,PC1,0.06959,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_goods_log,PC2,-0.058007,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_goods_log,PC3,-0.080134,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_goods_log,PC4,-0.02525,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_goods_log,PC5,0.072129,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_services_log,PC1,0.06926,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_services_log,PC2,-0.019526,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_services_log,PC3,-0.074628,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_services_log,PC4,0.005304,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_trade_services_log,PC5,0.107066,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_mobile_subscriptions,PC1,0.066814,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_mobile_subscriptions,PC2,-0.133503,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_mobile_subscriptions,PC3,-0.192068,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_mobile_subscriptions,PC4,-0.062613,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_mobile_subscriptions,PC5,0.216423,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_online_services,PC1,0.068489,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_online_services,PC2,-0.099913,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_online_services,PC3,-0.056783,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_online_services,PC4,0.018647,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_online_services,PC5,0.062527,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_open_data,PC1,0.025019,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_open_data,PC2,-0.064593,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_open_data,PC3,-0.052985,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_open_data,PC4,-0.017204,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_open_data,PC5,-0.00666,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_procurement_data,PC1,0.030953,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_procurement_data,PC2,-0.051787,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_procurement_data,PC3,-0.108542,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_procurement_data,PC4,-0.010089,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_procurement_data,PC5,0.037982,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_rd_spending_log,PC1,0.132854,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_rd_spending_log,PC2,-0.043047,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_rd_spending_log,PC3,0.026465,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_rd_spending_log,PC4,0.103064,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_rd_spending_log,PC5,-0.125648,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_regulatory_quality,PC1,0.079778,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_regulatory_quality,PC2,-0.014065,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_regulatory_quality,PC3,-0.084532,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_regulatory_quality,PC4,0.041265,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_regulatory_quality,PC5,0.07929,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_software_spending,PC1,0.074544,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_software_spending,PC2,-0.046269,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_software_spending,PC3,0.02147,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_software_spending,PC4,-0.112998,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_software_spending,PC5,-0.066968,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_statistical_capacity,PC1,0.059455,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_statistical_capacity,PC2,-0.045044,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_statistical_capacity,PC3,-0.070482,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_statistical_capacity,PC4,-0.01195,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_statistical_capacity,PC5,0.034203,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_stem_graduates,PC1,0.0252,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_stem_graduates,PC2,-0.099128,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_stem_graduates,PC3,-0.017683,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_stem_graduates,PC4,0.024577,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_stem_graduates,PC5,-0.026844,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_telecom_infrastructure,PC1,0.077895,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_telecom_infrastructure,PC2,-0.072865,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_telecom_infrastructure,PC3,-0.113375,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_telecom_infrastructure,PC4,-0.041049,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_telecom_infrastructure,PC5,0.103275,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_time_govt_regulations,PC1,-0.003463,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_time_govt_regulations,PC2,-0.018208,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_time_govt_regulations,PC3,0.05101,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_time_govt_regulations,PC4,0.121445,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_time_govt_regulations,PC5,-0.068418,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_vc_availability,PC1,0.17639,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_vc_availability,PC2,0.117562,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_vc_availability,PC3,0.171124,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_vc_availability,PC4,0.757389,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_vc_availability,PC5,-0.090774,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_infrastructure,PC1,0.086043,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_infrastructure,PC2,-0.07729,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_infrastructure,PC3,-0.041642,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_infrastructure,PC4,-0.029841,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_infrastructure,PC5,0.025847,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_innovation_capacity,PC1,0.088491,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_innovation_capacity,PC2,-0.096371,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_innovation_capacity,PC3,0.049364,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_innovation_capacity,PC4,0.058523,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_innovation_capacity,PC5,-0.099771,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_maturity,PC1,0.090237,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_maturity,PC2,-0.073422,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_maturity,PC3,0.001391,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_maturity,PC4,-0.030446,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_maturity,PC5,0.002663,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_policy_capacity,PC1,0.046934,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_policy_capacity,PC2,-0.101859,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_policy_capacity,PC3,-0.01309,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_policy_capacity,PC4,0.039339,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_policy_capacity,PC5,-0.022516,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_policy_commitment,PC1,0.050115,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_policy_commitment,PC2,-0.120165,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_policy_commitment,PC3,-0.025169,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_policy_commitment,PC4,0.057337,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_policy_commitment,PC5,-0.022568,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_policy_vision,PC1,0.061503,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_policy_vision,PC2,-0.112099,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_policy_vision,PC3,0.003833,0.052836,exploratory_not_feature
