Publication date,Training compute (petaFLOP),Label
2018-09-17,11000.0,Industry-academia collaboration
2018-08-30,666.0,Industry-academia collaboration
2017-09-15,3.4,Industry-academia collaboration
2017-07-10,843000.0,Industry-academia collaboration
2017-01-23,93939.05664,Industry-academia collaboration
2016-11-16,12000.0,Industry-academia collaboration
2016-11-04,21.3,Industry-academia collaboration
2016-06-21,719.35776,Industry-academia collaboration
2015-12-02,100000.0,Industry-academia collaboration
2015-10-28,12311.08125,Industry-academia collaboration
2015-03-17,34.153451,Industry-academia collaboration
2014-12-22,0.6249798,Industry-academia collaboration
2014-09-17,1510.0,Industry-academia collaboration
2014-06-18,3411.072,Industry-academia collaboration
2013-12-05,1340.928,Industry-academia collaboration
2013-05-26,127.73376,Industry-academia collaboration
2025-11-20,1099999999.9999998,Other
2024-05-21,1061999999.9999999,Other
2024-03-04,10500000000.0,Other
2023-09-06,3760000000.0,Other
2023-03-15,240000000.0,Other
2022-07-11,365664000.0,Other
2022-02-09,93162700.8,Other
2021-08-11,801600.0,Other
2020-11-23,1660000.0,Other
2020-10-21,1428295.68,Other
2020-05-02,16500.0,Other
2019-11-27,1742.76,Other
2019-11-10,23504.093,Other
2019-09-04,637.0,Other
2019-03-26,89268.48,Other
2018-05-22,72.96,Other
2018-02-01,3.30010000000001,Other
2016-11-05,3468.6144,Other
2014-09-14,44.0,Other
2009-11-22,2.4520900608,Other
2009-11-22,4.18185216,Other
2005-01-06,0.115848,Other
2004-12-01,2.78208,Other
