year,country,country_code,education_label,pct_share
2010,Japan,JP,High School,0.0003
2010,Japan,JP,Bachelor,0.0591
2010,Japan,JP,Masters,0.2447
2010,Japan,JP,Doctorate,0.259
2011,Japan,JP,High School,0.0006
2013,Japan,JP,Diploma,0.0002
2012,Japan,JP,Doctorate,0.2724
2014,Japan,JP,Doctorate,0.2836
2013,Japan,JP,Other,0.412
2017,Japan,JP,Masters,0.2655
2017,Japan,JP,Doctorate,0.2902
2016,Japan,JP,Other,0.3869
2016,Japan,JP,Diploma,0.0002
2016,Japan,JP,High School,0.0006
2016,Japan,JP,Bachelor,0.0608
2016,Japan,JP,Masters,0.2672
2016,Japan,JP,Doctorate,0.2843
2015,Japan,JP,Other,0.3954
2017,Japan,JP,Bachelor,0.0595
2015,Japan,JP,High School,0.0004
2015,Japan,JP,Diploma,0.0004
2014,Japan,JP,Bachelor,0.0552
2014,Japan,JP,High School,0.0002
2014,Japan,JP,Diploma,0.0005
2014,Japan,JP,Masters,0.2548
2015,Japan,JP,Doctorate,0.2857
2015,Japan,JP,Masters,0.2591
2015,Japan,JP,Bachelor,0.0589
2014,Japan,JP,Other,0.4057
2020,Netherlands,NL,Bachelor,0.0432
2021,Netherlands,NL,High School,0.0011
2021,Netherlands,NL,Bachelor,0.0468
2021,Netherlands,NL,Masters,0.4549
2021,Netherlands,NL,Doctorate,0.2685
2020,Netherlands,NL,Other,0.27
2021,Netherlands,NL,Diploma,0.0015
2020,Netherlands,NL,Diploma,0.0015
2020,Netherlands,NL,High School,0.001
2020,Netherlands,NL,Masters,0.4258
2019,Netherlands,NL,Bachelor,0.0411
2019,Netherlands,NL,Other,0.3169
2019,Netherlands,NL,Diploma,0.0014
2019,Netherlands,NL,High School,0.001
2019,Netherlands,NL,Masters,0.3963
2019,Netherlands,NL,Doctorate,0.2433
2018,Netherlands,NL,Other,0.3514
2018,Netherlands,NL,Diploma,0.0014
2018,Netherlands,NL,High School,0.001
2021,Netherlands,NL,Other,0.2273
2020,Netherlands,NL,Doctorate,0.2584
2022,Netherlands,NL,Doctorate,0.2799
2025,Netherlands,NL,Other,0.1522
2022,Netherlands,NL,Bachelor,0.0503
2018,Netherlands,NL,Bachelor,0.0388
2025,Netherlands,NL,Diploma,0.0014
2025,Netherlands,NL,High School,0.001
2025,Netherlands,NL,Bachelor,0.0544
2025,Netherlands,NL,Masters,0.4933
2025,Netherlands,NL,Doctorate,0.2978
2024,Netherlands,NL,Other,0.159
2024,Netherlands,NL,Diploma,0.0013
2024,Netherlands,NL,High School,0.001
2024,Netherlands,NL,Bachelor,0.0537
2024,Netherlands,NL,Masters,0.4908
2024,Netherlands,NL,Doctorate,0.2941
2023,Netherlands,NL,Other,0.173
2023,Netherlands,NL,Diploma,0.0013
2023,Netherlands,NL,High School,0.001
2023,Netherlands,NL,Bachelor,0.0529
2023,Netherlands,NL,Masters,0.484
2023,Netherlands,NL,Doctorate,0.2877
2022,Netherlands,NL,Other,0.1951
2022,Netherlands,NL,Diploma,0.0014
2022,Netherlands,NL,High School,0.0011
2022,Netherlands,NL,Masters,0.4722
2018,Netherlands,NL,Masters,0.3741
2018,Netherlands,NL,Doctorate,0.2333
2010,Netherlands,NL,Doctorate,0.1932
2013,Netherlands,NL,High School,0.0011
2013,Netherlands,NL,Bachelor,0.0311
2013,Netherlands,NL,Masters,0.266
2013,Netherlands,NL,Doctorate,0.2012
2012,Netherlands,NL,Other,0.5177
2012,Netherlands,NL,Diploma,0.0016
2012,Netherlands,NL,High School,0.0014
2012,Netherlands,NL,Bachelor,0.0274
2012,Netherlands,NL,Doctorate,0.1962
2011,Netherlands,NL,Other,0.5409
