Country,Gender,ai_talent_representation_perc,Year
Spain,Female,0.27661,2020
Spain,Male,0.72339,2020
Spain,Female,0.28067,2021
Spain,Male,0.71933,2021
Spain,Female,0.28328,2022
Spain,Male,0.71672,2022
Spain,Female,0.28466,2023
Spain,Male,0.71534,2023
Spain,Female,0.28953,2024
Spain,Male,0.71047,2024
Spain,Female,0.29064,2025
Spain,Male,0.70936,2025
Sweden,Female,0.28311,2016
Sweden,Male,0.71689,2016
Sweden,Female,0.28195,2017
Sweden,Male,0.71805,2017
Sweden,Female,0.27675,2018
Sweden,Male,0.72325,2018
Sweden,Female,0.27667,2019
Sweden,Male,0.72333,2019
Sweden,Female,0.27855,2020
Sweden,Male,0.72145,2020
Sweden,Female,0.28255,2021
Sweden,Male,0.71745,2021
Sweden,Female,0.28739,2022
Sweden,Male,0.71261,2022
Sweden,Female,0.29037,2023
Sweden,Male,0.70963,2023
Sweden,Female,0.29335,2024
Sweden,Male,0.70665,2024
Sweden,Female,0.2962,2025
Sweden,Male,0.7038,2025
Switzerland,Female,0.24226,2016
Switzerland,Male,0.75774,2016
Switzerland,Female,0.24102,2017
Switzerland,Male,0.75898,2017
Switzerland,Female,0.24212,2018
Switzerland,Male,0.75788,2018
Switzerland,Female,0.24566,2019
Switzerland,Male,0.75434,2019
Switzerland,Female,0.24889,2020
Switzerland,Male,0.75111,2020
Switzerland,Female,0.2519,2021
Switzerland,Male,0.7481,2021
Switzerland,Female,0.25525,2022
Switzerland,Male,0.74475,2022
Switzerland,Female,0.2579,2023
Switzerland,Male,0.7421,2023
Switzerland,Female,0.26267,2024
Switzerland,Male,0.73733,2024
Switzerland,Female,0.2649,2025
Switzerland,Male,0.7351,2025
Turkey,Female,0.26847,2016
Turkey,Male,0.73153,2016
Turkey,Female,0.27273,2017
Turkey,Male,0.72727,2017
Turkey,Female,0.27059,2018
Turkey,Male,0.72941,2018
Turkey,Female,0.27217,2019
Turkey,Male,0.72783,2019
Turkey,Female,0.26888,2020
Turkey,Male,0.73112,2020
Turkey,Female,0.27657,2021
Turkey,Male,0.72343,2021
Turkey,Female,0.27801,2022
Turkey,Male,0.72199,2022
Turkey,Female,0.28191,2023
Turkey,Male,0.71809,2023
Turkey,Female,0.28768,2024
Turkey,Male,0.71232,2024
Turkey,Female,0.29203,2025
Turkey,Male,0.70797,2025
United Arab Emirates,Female,0.26656,2016
United Arab Emirates,Male,0.73344,2016
United Arab Emirates,Female,0.27922,2017
United Arab Emirates,Male,0.72078,2017
United Arab Emirates,Female,0.2825,2018
United Arab Emirates,Male,0.7175,2018
United Arab Emirates,Female,0.2888,2019
United Arab Emirates,Male,0.7112,2019
United Arab Emirates,Female,0.2958,2020
United Arab Emirates,Male,0.7042,2020
United Arab Emirates,Female,0.30115,2021
United Arab Emirates,Male,0.69885,2021
United Arab Emirates,Female,0.30355,2022
United Arab Emirates,Male,0.69645,2022
United Arab Emirates,Female,0.30258,2023
United Arab Emirates,Male,0.69742,2023
United Arab Emirates,Female,0.30548,2024
United Arab Emirates,Male,0.69452,2024
United Arab Emirates,Female,0.30086,2025
United Arab Emirates,Male,0.69914,2025
United Kingdom,Female,0.25708,2016
United Kingdom,Male,0.74292,2016
United Kingdom,Female,0.26236,2017
United Kingdom,Male,0.73764,2017
United Kingdom,Female,0.26653,2018
United Kingdom,Male,0.73347,2018
United Kingdom,Female,0.27176,2019
United Kingdom,Male,0.72824,2019
United Kingdom,Female,0.27569,2020
United Kingdom,Male,0.72431,2020
United Kingdom,Female,0.28263,2021
United Kingdom,Male,0.71737,2021
United Kingdom,Female,0.2902,2022
United Kingdom,Male,0.7098,2022
United Kingdom,Female,0.29526,2023
United Kingdom,Male,0.70474,2023
United Kingdom,Female,0.2992,2024
United Kingdom,Male,0.7008,2024
United Kingdom,Female,0.30248,2025
United Kingdom,Male,0.69752,2025
United States,Female,0.33098,2016
United States,Male,0.66902,2016
United States,Female,0.33168,2017
United States,Male,0.66832,2017
United States,Female,0.33287,2018
United States,Male,0.66713,2018
United States,Female,0.33358,2019
United States,Male,0.66642,2019
United States,Female,0.33556,2020
United States,Male,0.66444,2020
United States,Female,0.33851,2021
United States,Male,0.66149,2021
United States,Female,0.34131,2022
United States,Male,0.65869,2022
United States,Female,0.34259,2023
United States,Male,0.65741,2023
United States,Female,0.34287,2024
United States,Male,0.65713,2024
United States,Female,0.34261,2025
United States,Male,0.65739,2025
Uruguay,Female,0.28776,2016
Uruguay,Male,0.71224,2016
Uruguay,Female,0.28095,2017
Uruguay,Male,0.71905,2017
Uruguay,Female,0.26995,2018
Uruguay,Male,0.73005,2018
Uruguay,Female,0.25627,2019
Uruguay,Male,0.74373,2019
Uruguay,Female,0.26926,2020
Uruguay,Male,0.73074,2020
Uruguay,Female,0.27336,2021
Uruguay,Male,0.72664,2021
Uruguay,Female,0.28237,2022
Uruguay,Male,0.71763,2022
Uruguay,Female,0.28666,2023
Uruguay,Male,0.71334,2023
Uruguay,Female,0.28281,2024
Uruguay,Male,0.71719,2024
Uruguay,Female,0.29098,2025
Uruguay,Male,0.70902,2025
